epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.3766,3.90456,4.66956,1.80548,0.00037,0.00104,0.00019,8e-05,3.84729,4.5832,1.73527,4.444e-05,4.444e-05,4.444e-05
2,34.0203,3.25481,4.49277,1.4265,0.00024,0.00075,0.00014,8e-05,2.81197,4.4218,1.10248,9.87526e-05,9.87526e-05,9.87526e-05
3,59.5276,2.95674,4.32019,1.16856,0.0003,0.00081,0.00016,7e-05,2.83814,4.34438,0.99655,0.00015169,0.00015169,0.00015169
4,87.8691,2.70588,4.13004,1.05823,0.00038,0.00104,0.00025,0.0001,2.44053,4.26518,0.944,0.000203253,0.000203253,0.000203253
5,117.546,2.68232,3.82338,1.00625,0.00036,0.00104,0.00026,0.0001,2.30038,4.20042,0.92776,0.000253441,0.000253441,0.000253441
6,146.298,2.14393,3.46741,0.95196,0.0003,0.00082,0.0004,0.0001,2.16724,4.11922,0.90338,0.000302254,0.000302254,0.000302254
7,174.472,2.12771,3.21418,0.93846,0.03514,0.12661,0.04348,0.01682,2.27217,3.83911,0.91772,0.000349693,0.000349693,0.000349693
8,203.94,2.09049,2.98472,0.93269,0.06586,0.23227,0.07435,0.02679,2.21721,3.62359,0.9134,0.000395756,0.000395756,0.000395756
9,221.672,1.96572,2.8168,0.91877,0.07097,0.24323,0.08722,0.03278,2.04436,3.3663,0.8874,0.000440445,0.000440445,0.000440445
10,235.743,2.30872,2.66524,0.92161,0.37992,0.21888,0.15402,0.06267,2.03437,2.81575,0.8779,0.000483759,0.000483759,0.000483759
11,249.214,2.10865,2.49214,0.92173,0.2682,0.24921,0.22967,0.08831,2.16505,2.58031,0.89564,0.000525697,0.000525697,0.000525697
12,262.931,2.43272,2.44114,0.93986,0.36806,0.26528,0.26225,0.10976,2.23185,2.43417,0.91572,0.000566261,0.000566261,0.000566261
13,276.475,2.00388,2.29703,0.90589,0.38336,0.32592,0.29207,0.14736,2.06205,2.30004,0.90391,0.000605451,0.000605451,0.000605451
14,290.173,2.05152,2.19534,0.90785,0.38336,0.32592,0.29207,0.14736,2.06205,2.30004,0.90391,0.000643265,0.000643265,0.000643265
15,304.102,2.287,2.27935,0.91964,0.35497,0.38587,0.33435,0.17925,1.90057,2.18713,0.8752,0.000679704,0.000679704,0.000679704
16,317.465,2.15614,2.07412,0.89848,0.41004,0.37889,0.36509,0.19506,1.87847,2.09337,0.8717,0.000714769,0.000714769,0.000714769
17,331.305,2.11063,2.14909,0.90437,0.45077,0.42684,0.40676,0.21689,1.84936,1.97701,0.87617,0.000748458,0.000748458,0.000748458
18,344.933,2.05229,2.05385,0.89526,0.45077,0.42684,0.40676,0.21689,1.84936,1.97701,0.87617,0.000780773,0.000780773,0.000780773
19,358.736,2.11511,1.94098,0.90002,0.48338,0.45172,0.43517,0.2194,1.98886,1.86938,0.8958,0.000811713,0.000811713,0.000811713
20,372.458,2.24773,1.98272,0.90777,0.49383,0.4664,0.45919,0.23443,1.93035,1.76664,0.88819,0.000841278,0.000841278,0.000841278
21,385.939,2.06367,1.87167,0.89524,0.49383,0.4664,0.45919,0.23443,1.93035,1.76664,0.88819,0.000836027,0.000836027,0.000836027
