epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.2024,1.76967,5.48343,1.17689,0,0,0,0,1.36775,4.93385,1.03079,0.0001,0.0001,0.0001
2,60.0263,1.59606,4.76415,1.00204,0,0,0,0,1.26253,4.70262,0.94342,0.000208293,0.000208293,0.000208293
3,86.8982,1.40886,4.13769,0.9322,0.00023,0.025,0.00014,4e-05,1.22142,4.56018,0.91347,0.00031213,0.00031213,0.00031213
4,113.551,1.45133,3.53591,0.93109,0.0084,0.175,0.11173,0.06888,1.24638,4.33412,0.92756,0.000411512,0.000411512,0.000411512
5,140.194,1.35715,3.07352,0.93159,0.02016,0.325,0.17437,0.11412,1.15815,4.14632,0.89348,0.00050644,0.00050644,0.00050644
6,166.697,1.32962,2.93439,0.93448,0.02295,0.6,0.45041,0.28909,1.14492,3.93054,0.87842,0.000596913,0.000596913,0.000596913
7,193.638,1.2657,2.53181,0.92,0.02471,0.85,0.61446,0.41327,1.08657,3.62029,0.86899,0.00068293,0.00068293,0.00068293
8,220.419,1.28918,2.43469,0.92008,0.01732,0.95,0.62899,0.4291,1.05391,3.42932,0.86994,0.000764493,0.000764493,0.000764493
9,247.089,1.17033,2.26087,0.91231,0.67731,0.49433,0.69636,0.45318,1.08774,3.07803,0.87066,0.0008416,0.0008416,0.0008416
10,273.891,1.21367,2.293,0.92105,0.81495,0.38256,0.7634,0.47714,1.11668,2.89415,0.87258,0.000914253,0.000914253,0.000914253
11,300.967,1.15279,2.08313,0.90622,0.82411,0.69373,0.89083,0.62081,1.12029,2.33913,0.88183,0.00098245,0.00098245,0.00098245
12,327.924,1.16,2.02904,0.90701,0.76835,0.81906,0.89449,0.62203,1.1013,2.13042,0.88035,0.00097775,0.00097775,0.00097775
13,354.657,1.15627,1.89201,0.91638,0.78041,0.9,0.90429,0.63287,1.06309,2.0133,0.87154,0.000953,0.000953,0.000953
14,381.027,1.12116,1.91199,0.90797,0.80345,0.804,0.89352,0.62586,1.07862,1.95976,0.87571,0.00092825,0.00092825,0.00092825
15,406.849,1.12776,1.7759,0.90163,0.8237,0.87771,0.90367,0.65767,1.08283,1.87492,0.88523,0.0009035,0.0009035,0.0009035
16,432.651,1.14302,1.5902,0.91409,0.81021,0.82536,0.91761,0.65857,1.1349,1.89269,0.89748,0.00087875,0.00087875,0.00087875
17,458.072,1.0548,1.56868,0.89275,0.82726,0.82062,0.92529,0.63157,1.17247,1.8633,0.90622,0.000854,0.000854,0.000854
18,483.655,1.04656,1.51049,0.89435,0.77504,0.89809,0.92724,0.65111,1.10046,1.68498,0.88705,0.00082925,0.00082925,0.00082925
19,509.109,1.06201,1.58628,0.91805,0.89093,0.83513,0.92717,0.67156,0.9966,1.74988,0.86068,0.0008045,0.0008045,0.0008045
20,534.964,1.0603,1.48305,0.89518,0.95604,0.90507,0.96605,0.70372,0.99167,1.56883,0.85861,0.00077975,0.00077975,0.00077975
21,560.728,1.06004,1.4572,0.89891,0.91258,1,0.995,0.71696,0.97802,1.30239,0.85543,0.000755,0.000755,0.000755
22,586.607,1.01821,1.29327,0.8822,0.95746,0.99133,0.99273,0.71659,0.97736,1.23304,0.85976,0.00073025,0.00073025,0.00073025
23,612.374,1.03,1.40664,0.89216,0.96182,0.99649,0.995,0.72541,0.98061,1.16551,0.85813,0.0007055,0.0007055,0.0007055
24,638.393,0.99855,1.29003,0.89018,0.95429,0.99228,0.995,0.73274,0.95706,1.1844,0.85468,0.00068075,0.00068075,0.00068075
25,665.021,0.97955,1.26904,0.87906,0.96985,0.98439,0.995,0.75009,0.9445,1.20647,0.85024,0.000656,0.000656,0.000656
26,691.502,0.9943,1.28194,0.87438,0.96662,0.9878,0.995,0.73943,0.93592,1.20093,0.85032,0.00063125,0.00063125,0.00063125
27,718.889,0.97485,1.27104,0.88106,0.97566,0.94152,0.995,0.7511,0.96798,1.15813,0.86044,0.0006065,0.0006065,0.0006065
28,745.627,0.97158,1.1682,0.88394,0.95181,0.91035,0.98402,0.73848,0.97125,1.21967,0.85777,0.00058175,0.00058175,0.00058175
29,772.616,0.9736,1.17613,0.86523,0.90725,0.9177,0.98189,0.72962,0.98794,1.26842,0.85293,0.000557,0.000557,0.000557
30,799.291,0.98581,1.25448,0.89393,0.89098,0.95522,0.98167,0.73424,0.95461,1.25659,0.84884,0.00053225,0.00053225,0.00053225
31,825.648,0.92842,1.1447,0.87722,0.92443,0.97376,0.99045,0.76312,0.91996,1.16579,0.84416,0.0005075,0.0005075,0.0005075
32,851.34,0.97373,1.14384,0.886,0.93032,0.97443,0.99045,0.75073,0.90481,1.10094,0.84329,0.00048275,0.00048275,0.00048275
33,876.899,0.99317,1.16743,0.87338,0.93,0.96822,0.99045,0.75533,0.91772,1.09257,0.84267,0.000458,0.000458,0.000458
34,903.05,0.94005,1.06786,0.87773,0.91505,0.98831,0.99045,0.76215,0.89095,1.09668,0.83978,0.00043325,0.00043325,0.00043325
35,929.001,0.96767,1.12812,0.88471,0.93336,0.96783,0.99045,0.7411,0.89101,1.08198,0.84527,0.0004085,0.0004085,0.0004085
36,956.035,0.93059,1.13148,0.86842,0.93001,0.975,0.99045,0.75018,0.89235,1.05991,0.84404,0.00038375,0.00038375,0.00038375
37,982.747,0.94076,1.037,0.88133,0.92939,0.97546,0.99045,0.74783,0.90656,1.02168,0.84388,0.000359,0.000359,0.000359
38,1009.3,0.91343,1.07983,0.87479,0.9269,0.9848,0.99045,0.7575,0.89164,1.01798,0.84146,0.00033425,0.00033425,0.00033425
39,1036.43,0.91819,1.08663,0.86522,0.9433,0.99435,0.99273,0.77119,0.85972,1.01367,0.83927,0.0003095,0.0003095,0.0003095
40,1063.22,0.91627,1.11109,0.88141,0.9626,0.98798,0.99273,0.7683,0.85518,1.01789,0.84131,0.00028475,0.00028475,0.00028475
41,1089.32,0.96483,1.40625,0.87829,0.96018,0.99336,0.995,0.76292,0.85926,1.01984,0.84149,0.00026,0.00026,0.00026
42,1115.45,0.91096,1.42208,0.86122,0.95578,0.99339,0.995,0.76666,0.87971,1.02204,0.84296,0.00023525,0.00023525,0.00023525
43,1142.09,0.92924,1.44014,0.87071,0.97303,0.97826,0.995,0.76467,0.88605,0.98952,0.84007,0.0002105,0.0002105,0.0002105
44,1168.45,0.8992,1.43985,0.84438,0.95986,0.9966,0.99273,0.75823,0.89044,0.97753,0.84091,0.00018575,0.00018575,0.00018575
45,1194.84,0.89366,1.44233,0.85781,0.95393,1,0.99273,0.764,0.88979,0.96706,0.84041,0.000161,0.000161,0.000161
46,1220.43,0.92287,1.34934,0.86721,0.98653,0.99187,0.995,0.7664,0.89522,0.95562,0.84021,0.00013625,0.00013625,0.00013625
47,1245.84,0.91148,1.3555,0.87555,0.98675,0.99491,0.995,0.76691,0.8999,0.94182,0.84153,0.0001115,0.0001115,0.0001115
48,1270.85,0.93353,1.36721,0.87058,0.98672,0.99513,0.995,0.77025,0.904,0.93464,0.84209,8.675e-05,8.675e-05,8.675e-05
49,1295.85,0.8653,1.36642,0.85077,0.98741,0.99069,0.995,0.7728,0.90127,0.9296,0.84198,6.2e-05,6.2e-05,6.2e-05
50,1321.15,0.90495,1.4013,0.88361,0.98297,0.99258,0.995,0.77351,0.8984,0.9236,0.8412,3.725e-05,3.725e-05,3.725e-05
