epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1098.09,1.56568,1.13282,0.85252,0.53327,0.52466,0.58858,0.29557,1.51452,1.52457,0.83959,0.000533558,0.000533558,0.000533558
44,1127.55,1.5614,1.07405,0.85168,0.52271,0.53427,0.58982,0.29263,1.52021,1.51824,0.83955,0.000519809,0.000519809,0.000519809
45,1156.27,1.6777,1.10133,0.86314,0.5162,0.5344,0.5848,0.30375,1.46415,1.51966,0.83648,0.00050606,0.00050606,0.00050606
46,1183.75,1.6057,1.04143,0.85246,0.5162,0.5344,0.5848,0.30375,1.46415,1.51966,0.83648,0.000492312,0.000492312,0.000492312
47,1216.74,1.66401,1.0866,0.85009,0.51991,0.56155,0.58125,0.29634,1.4937,1.51998,0.83508,0.000478563,0.000478563,0.000478563
48,1250.68,1.53573,1.02735,0.84669,0.5404,0.53673,0.5787,0.28802,1.56678,1.52656,0.83705,0.000464815,0.000464815,0.000464815
49,1279.64,1.69193,1.06205,0.85916,0.55834,0.52627,0.58007,0.29187,1.55646,1.5067,0.83724,0.000451066,0.000451066,0.000451066
50,1305.7,1.44882,1.04432,0.84377,0.57603,0.53865,0.58949,0.30722,1.50192,1.46317,0.83404,0.000437317,0.000437317,0.000437317
51,1333.64,1.62491,1.08732,0.85454,0.56504,0.54389,0.59875,0.31927,1.48354,1.44153,0.83356,0.000423569,0.000423569,0.000423569
52,1361.69,1.55087,0.99096,0.85005,0.56648,0.544,0.59685,0.31728,1.44901,1.39762,0.83117,0.00040982,0.00040982,0.00040982
53,1389.05,1.49985,0.99736,0.8522,0.54881,0.54647,0.60061,0.32979,1.4091,1.36983,0.82876,0.000396071,0.000396071,0.000396071
54,1417.19,1.5972,1.04875,0.85513,0.54881,0.54647,0.60061,0.32979,1.4091,1.36983,0.82876,0.000382323,0.000382323,0.000382323
55,1445.8,1.51913,0.96078,0.84722,0.52553,0.54987,0.59244,0.32275,1.43969,1.36501,0.82983,0.000368574,0.000368574,0.000368574
56,1473.79,1.59137,1.00761,0.84875,0.53068,0.52236,0.59255,0.31494,1.47167,1.37036,0.83081,0.000354826,0.000354826,0.000354826
57,1500.95,1.47467,1.00957,0.85093,0.52408,0.52815,0.59675,0.32236,1.44995,1.37903,0.82982,0.000341077,0.000341077,0.000341077
58,1527.41,1.57982,1.00244,0.85646,0.54338,0.53545,0.60018,0.31788,1.45657,1.3993,0.8296,0.000327328,0.000327328,0.000327328
59,1555.09,1.66861,1.02505,0.85116,0.55713,0.53541,0.60099,0.32099,1.48087,1.4128,0.83272,0.00031358,0.00031358,0.00031358
60,1581.83,1.63116,0.97082,0.84532,0.55913,0.5503,0.6016,0.32017,1.46334,1.41596,0.83172,0.000299831,0.000299831,0.000299831
61,1610,1.44864,0.9414,0.84749,0.56692,0.55221,0.60414,0.32904,1.41847,1.40276,0.82926,0.000286083,0.000286083,0.000286083
62,1637.63,1.53164,0.95588,0.84532,0.56692,0.55221,0.60414,0.32904,1.41847,1.40276,0.82926,0.000272334,0.000272334,0.000272334
63,1665.18,1.58462,1.02316,0.85094,0.54446,0.55718,0.60132,0.32512,1.42382,1.38855,0.82868,0.000258585,0.000258585,0.000258585
64,1693.2,1.59169,0.98994,0.85155,0.53833,0.53575,0.59733,0.32615,1.43134,1.3795,0.82895,0.000244837,0.000244837,0.000244837
65,1719.3,1.48669,0.95256,0.85166,0.54979,0.55736,0.60198,0.33039,1.40985,1.37523,0.82876,0.000231088,0.000231088,0.000231088
66,1746.18,1.55239,0.96707,0.84617,0.55713,0.56472,0.60577,0.33445,1.38231,1.36918,0.82934,0.000217339,0.000217339,0.000217339
67,1771.26,1.48977,0.93628,0.84248,0.53951,0.56993,0.60815,0.3363,1.40009,1.3794,0.82955,0.000203591,0.000203591,0.000203591
68,1798.13,1.40188,0.86719,0.84177,0.54554,0.56993,0.61115,0.33932,1.41846,1.38708,0.82982,0.000189842,0.000189842,0.000189842
69,1825.59,1.55634,0.98679,0.84411,0.54616,0.56094,0.61003,0.34083,1.41364,1.39121,0.8287,0.000176094,0.000176094,0.000176094
